
 sfworker.cc l261 tx_time 31.303410, tti 8723, rnti 95
 sfworker.cc l261 tx_time 31.305410, tti 8725, rnti 95
 sfworker.cc l261 tx_time 31.309410, tti 8729, rnti 95
 sfworker.cc l261 tx_time 32.293411, tti 9713, rnti 95
 sfworker.cc l261 tx_time 32.295411, tti 9715, rnti 95
 sfworker.cc l261 tx_time 32.297411, tti 9717, rnti 95
 sfworker.cc l261 tx_time 32.301411, tti 9721, rnti 95
 sfworker.cc l261 tx_time 32.303411, tti 9723, rnti 95
 sfworker.cc l261 tx_time 32.305411, tti 9725, rnti 95
 sfworker.cc l261 tx_time 32.309411, tti 9729, rnti 95
 sfworker.cc l261 tx_time 33.293412, tti 473, rnti 95
 sfworker.cc l261 tx_time 33.295412, tti 475, rnti 95
 sfworker.cc l261 tx_time 33.297412, tti 477, rnti 95
 sfworker.cc l261 tx_time 33.301412, tti 481, rnti 95
 sfworker.cc l261 tx_time 33.303412, tti 483, rnti 95
 sfworker.cc l261 tx_time 33.305412, tti 485, rnti 95
 sfworker.cc l261 tx_time 33.309412, tti 489, rnti 95
 sfworker.cc l261 tx_time 34.313413, tti 1493, rnti 95
 sfworker.cc l261 tx_time 34.315413, tti 1495, rnti 95
 sfworker.cc l261 tx_time 34.317413, tti 1497, rnti 95
 sfworker.cc l261 tx_time 34.321413, tti 1501, rnti 95
 sfworker.cc l261 tx_time 34.323413, tti 1503, rnti 95
 sfworker.cc l261 tx_time 34.325413, tti 1505, rnti 95
 sfworker.cc l261 tx_time 34.329413, tti 1509, rnti 95
 sfworker.cc l261 tx_time 35.293414, tti 2473, rnti 95
 sfworker.cc l261 tx_time 35.295414, tti 2475, rnti 95
 sfworker.cc l261 tx_time 35.297414, tti 2477, rnti 95
 sfworker.cc l261 tx_time 35.301414, tti 2481, rnti 95
 sfworker.cc l261 i 1696, rnti 95
 sfworker.cc l261 tx_time 24.278402, tti 1698, rnti 95
 sfworker.cc l261 tx_time 24.282402, tti 1702, rnti 95
 sfworker.cc l261 tx_time 24.284402, tti 1704, rnti 95
 sfworker.cc l261 tx_time 25.284403, tti 2704, rnti 95
 sfworker.cc l261 tx_time 25.294403, tti 2714, rnti 95
 sfworker.cc l261 tx_time 25.296403, tti 2716, rnti 95
 sfworker.cc l261 tx_time 25.298403, tti 2718, rnti 95
 sfworker.cc l261 tx_time 25.302403, tti 2722, rnti 95
 sfworker.cc l261 tx_time 25.304403, tti 2724, rnti 95
 sfworker.cc l261 tx_time 26.284404, tti 3704, rnti 95
 sfworker.cc l261 tx_time 26.294404, tti 3714, rnti 95
 sfworker.cc l261 tx_time 26.296404, tti 3716, rnti 95
 sfworker.cc l261 tx_time 26.298404, tti 3718, rnti 95
 sfworker.cc l261 tx_time 26.302404, tti 3722, rnti 95
 sfworker.cc l261 tx_time 26.304404, tti 3724, rnti 95
 sfworker.cc l261 tx_time 26.306404, tti 3726, rnti 95
 sfworker.cc l261 tx_time 27.284405, tti 4704, rnti 95
 sfworker.cc l261 tx_time 27.294405, tti 4714, rnti 95
 sfworker.cc l261 tx_time 27.296405, tti 4716, rnti 95
 sfworker.cc l261 tx_time 27.298405, tti 4718, rnti 95
 sfworker.cc l261 tx_time 27.302405, tti 4722, rnti 95
 sfworker.cc l261 tx_time 27.304405, tti 4724, rnti 95
 sfworker.cc l261 tx_time 27.306405, tti 4726, rnti 95
 sfworker.cc l261 tx_time 28.284406, tti 5704, rnti 95
 sfworker.cc l261 tx_time 28.294406, tti 5714, rnti 95
 sfworker.cc l261 tx_time 28.296406, tti 5716, rnti 95
 sfworker.cc l261 tx_time 28.298406, tti 5718, rnti 95
